mission_id,task_id,x,y,z,detection_time
20251213231216379881,3,116.8479995727539,-77.0166015625,1.7856459617614746,2783.414490592
20251213231216379881,1,129.14588928222656,-105.11199951171875,1.6683697700500488,2783.820780899
20251213231216379881,0,97.81690979003906,-108.34200286865234,1.6481432914733887,2796.789249757
20251213231216379881,5,128.33700561523438,-84.74197387695312,1.8425846099853516,2817.109064933
20251213231216379881,2,94.85802459716797,-83.76482391357422,1.8010157346725464,2839.76487636
20251213231512197894,3,94.85802459716797,-83.76482391357422,1.8010157346725464,2960.624844603
20251213231512197894,1,128.33700561523438,-84.74197387695312,1.8425846099853516,2961.127282415
20251213231512197894,0,108.93196105957031,-97.87617492675781,1.6885924339294434,2973.989756431
20251213231512197894,5,97.81690979003906,-108.34200286865234,1.6481432914733887,2994.283120267
20251213231512197894,2,129.14588928222656,-105.11199951171875,1.6683697700500488,3016.989472002
20251213231804107569,3,128.33700561523438,-84.74197387695312,1.8425846099853516,3131.345672233
20251213231804107569,1,94.85802459716797,-83.76482391357422,1.8010157346725464,3131.845329673
20251213231804107569,0,129.14588928222656,-105.11199951171875,1.6683697700500488,3144.71630821
20251213231804107569,5,116.8479995727539,-77.0166015625,1.7856459617614746,3165.118990532
20251213231804107569,2,108.93196105957031,-97.87617492675781,1.6885924339294434,3185.926061053
20251213232054439363,3,128.33700561523438,-84.74197387695312,1.8425846099853516,3302.142548501
20251213232054439363,1,94.85802459716797,-83.76482391357422,1.8010157346725464,3302.649933697
20251213232054439363,0,129.14588928222656,-105.11199951171875,1.6683697700500488,3315.54695983
20251213232054439363,5,97.81690979003906,-108.34200286865234,1.6481432914733887,3335.919183887
20251213232054439363,2,116.8479995727539,-77.0166015625,1.7856459617614746,3357.8306544
20251213232400761026,3,129.14588928222656,-105.11199951171875,1.6683697700500488,3488.811757
20251213232400761026,1,94.85802459716797,-83.76482391357422,1.8010157346725464,3489.316249645
20251213232400761026,0,108.93196105957031,-97.87617492675781,1.6885924339294434,3502.180850756
20251213232400761026,5,97.81690979003906,-108.34200286865234,1.6481432914733887,3522.584207033
20251213232400761026,2,116.8479995727539,-77.0166015625,1.7856459617614746,3544.403687108
20251213232400761026,4,128.33700561523438,-84.74197387695312,1.8425846099853516,3571.846102479
20251213232704670600,3,108.93196105957031,-97.87617492675781,1.6885924339294434,3672.589147727
20251213232704670600,1,128.33700561523438,-84.74197387695312,1.8425846099853516,3673.293012928
20251213232704670600,0,94.85802459716797,-83.76482391357422,1.8010157346725464,3686.158607561
20251213232704670600,5,116.8479995727539,-77.0166015625,1.7856459617614746,3706.558095206
20251213232704670600,2,97.81690979003906,-108.34200286865234,1.6481432914733887,3729.47468034
20251213233004079650,3,129.14588928222656,-105.11199951171875,1.6683697700500488,3852.60670303
20251213233004079650,1,94.85802459716797,-83.76482391357422,1.8010157346725464,3853.006887704
20251213233004079650,0,128.33700561523438,-84.74197387695312,1.8425846099853516,3865.868622906
20251213233004079650,5,116.8479995727539,-77.0166015625,1.7856459617614746,3886.267232402
20251213233004079650,2,108.93196105957031,-97.87617492675781,1.6885924339294434,3907.197041229
20251213233258594254,3,94.85802459716797,-83.76482391357422,1.8010157346725464,4025.545042432
20251213233258594254,1,116.8479995727539,-77.0166015625,1.7856459617614746,4025.948672017
20251213233258594254,0,128.33700561523438,-84.74197387695312,1.8425846099853516,4038.902655341
20251213233258594254,5,97.81690979003906,-108.34200286865234,1.6481432914733887,4059.196263066
20251213233258594254,2,108.93196105957031,-97.87617492675781,1.6885924339294434,4081.699202311
