mission_id,n_vehicles,plan_type,perception_start_time,assignation_start_time,execution_start_time,execution_end_time,spatial_tol
20251213231216379881,1,0,2782.952256289,2865.320812619,2869.23133273,2890.132568585,0.5
20251213231512197894,1,0,2960.181536492,3042.498483066,3042.528877163,3063.32998017,1.0
20251213231804107569,1,0,3130.948814864,3213.320113682,3213.344882275,3234.246043821,1.5
20251213232054439363,1,1,3301.681767429,3384.094995732,3390.088573966,3420.300199863,0.5
20251213232400761026,1,1,3488.40813589,3570.775809632,3570.90262612,3603.265131052,1.0
20251213232704670600,1,1,3672.348239132,3754.665720159,3754.692372978,3783.805349516,1.5
20251213233004079650,1,2,3852.118602394,3934.486289197,3937.278977517,3958.129971453,0.5
20251213233258594254,1,2,4025.086434253,4107.455435203,4107.479442954,4128.545566724,1.0
